,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
892,8,6.0,49223,182.1346348119987,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
893,16,6.0,49231,182.26866778399926,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
894,32,6.0,49247,182.45212795599946,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
895,64,6.0,49279,182.7323426719995,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
896,128,6.0,49343,183.19785722199958,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
897,256,6.0,49471,184.06057832700026,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
898,512,6.0,49727,185.69090717499785,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
899,1024,6.0,50239,188.87419201399825,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",75,1024,48
900,0,1.0,50239,188.96206910599722,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0)]",75,1024,49
901,1,1.0,50240,189.05597266199766,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0)]",75,1024,49
902,2,1.0,50241,189.14862166599778,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0)]",75,1024,49
903,4,1.0,50243,189.25148424399958,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0)]",75,1024,49
904,8,1.0,50247,189.3659034029988,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0)]",75,1024,49
905,16,4.0,50256,189.50559465699916,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,49
906,32,4.0,50272,189.6945804269999,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,49
907,64,4.0,50304,189.97532509699886,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,49
908,128,4.0,50368,190.44443026599765,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,49
909,256,4.0,50496,191.31033221199687,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,49
910,512,4.0,50752,192.96828020300018,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0)]",75,1024,49
